   No.;   F;   Na2O;   K2O;   FeO;   Cl;   SiO2;   CaO;   MnO;   TiO2;   Al2O3;   SO3;   NiO;   P2O5;   MgO;total plus na corr;  Total;Comment
51;0.884863092;7.724793257;2.343552714;3.782738393;0.371601438;67.57500289;2.162884611;0.144739787;0.613860939;14.09929765;0.00307957;0;0.14268674;0.607701799;100;98.81108065;CC1_raw_1 
52;0.800993708;7.697556869;2.291931933;3.83119712;0.352684008;67.80067282;1.967010223;0.149093822;0.665266918;14.11250147;0.021592898;0;0.14189619;0.584036491;100;98.81527259;CC1_raw_2 
53;0.82008862;7.726104248;2.314816179;3.758997397;0.367234652;67.70424702;2.076526279;0.119660729;0.644723758;14.11480828;0.01547337;0.02578895;0.132039426;0.607587669;100;98.81087888;CC1_raw_3 
54;0.756577603;7.709918447;2.353338246;3.820045986;0.368483225;67.74517651;2.169612716;0.118699078;0.664714838;13.97449409;0.026836313;0;0.095991428;0.598656221;100;98.81337002;CC1_raw_4 
55;0.541441902;8.049884475;2.269969632;3.896338514;0.374922977;67.68534563;1.952255611;0.137914447;0.648708693;13.99984871;0;0.011237473;0.143022389;0.601715623;100;98.76104601;CC1_raw_5 
56;0.68759848;7.697893448;2.330824831;3.809110018;0.380395561;68.07843478;1.892699863;0.078347053;0.682444068;14.05092545;0;0;0.121644109;0.564923489;100;98.81522079;CC1_raw_6 
57;0.894828386;7.603575471;2.381414696;3.875192507;0.366766629;67.68539447;2.155396045;0.126364973;0.641071083;13.98336299;0.00410943;0.015410363;0.130474403;0.59689471;100;98.82973722;CC1_raw_7 
58;0.689430506;7.744674634;2.283609153;3.768058621;0.383016948;67.87370869;2.013426928;0.090060742;0.658375078;14.18715478;0.013457352;0;0.129397617;0.541399632;100;98.80802072;CC1_raw_8 
59;0.740804376;7.85691776;2.318233443;3.762750459;0.365765721;67.80163109;2.088470751;0.106123575;0.619225911;14.02891847;0;0.002060652;0.119517813;0.584194828;100;98.79074543;CC1_raw_9 
60;0.782161817;7.664556026;2.334070183;3.883909338;0.399357753;67.7428694;1.947127697;0.113806614;0.665251386;14.13788522;0;0;0.125187275;0.622832558;100;98.82035173;CC1_raw_10 
61;0.897535222;7.502348905;2.301028875;3.82302603;0.364784694;67.9086896;2.090813966;0.123655828;0.661558682;14.08955119;0.007213257;0;0.075223962;0.615187747;100;98.84531696;CC1_raw_11 
62;0.602980802;7.701677167;2.286173364;3.89927585;0.363849954;67.96572833;1.893462791;0.107196587;0.658640568;14.1365499;0.011338101;0;0.153579726;0.555566927;100;98.81463844;CC1_raw_12 
63;0.868374268;7.709633372;2.311227267;3.881059523;0.376841663;67.83559553;2.046004466;0.059393523;0.66254499;14.02096754;0;0.015360394;0.071681838;0.591887178;100;98.8134139;CC1_raw_13 
64;0.78118785;7.78185221;2.323032988;3.922363697;0.364417459;67.53938683;2.127992657;0.146793512;0.662110595;14.01108142;0.003079584;0;0.151926152;0.595386272;100;98.80229873;CC1_raw_14 
65;0.630807815;7.787460469;2.278548034;3.742517727;0.374767982;67.90527405;1.994632896;0.083625913;0.657650701;14.11419582;0.020648374;0.037167073;0.144538616;0.578154463;100;98.80143557;CC1_raw_15 
66;0.682660505;7.733747781;2.335254941;3.785007568;0.374794003;67.92214614;2.009884323;0.136943963;0.641474351;14.09699092;0;0.004118615;0.076194385;0.572487543;100;98.80970246;CC1_raw_16 
67;0.797069249;7.805999263;2.298764148;3.843599393;0.357448581;67.63584523;2.125175613;0.148936909;0.635806527;14.05348127;0;0;0.110932318;0.603964843;100;98.79858227;CC1_raw_17 
68;1.030948867;7.693587203;2.352783605;3.829826;0.355641384;67.55438921;2.16262853;0.128483159;0.670168157;14.00569218;0.012334383;0;0.120260237;0.597189722;100;98.81588356;CC1_raw_18 
69;0.959235855;7.707881175;2.390345536;3.849333978;0.369651707;67.42529742;2.206552229;0.098091933;0.678383161;14.10458748;0;0;0.098091933;0.599909614;100;98.81368358;CC1_raw_19 
70;0.700016984;7.647243832;2.309334381;3.653696895;0.37629779;68.03464038;1.996955668;0.165983409;0.655686012;14.15704452;0.00721667;0;0.128869106;0.54640501;100;98.82301625;CC1_raw_20 
